Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note2,Amount,Currency,Account2
03/15/2022 21:45,CUB - online payment,Other,,From friend,269,Income,,269,INR,269
03/11/2022 09:09,CUB - online payment,Other,,From friend,127,Income,with gobi,127,INR,127
03/02/2022 19:51,CUB - online payment,Transportation,,Auto,1395.81,Expense,with gobi,1395.81,INR,1395.81
03/24/2022 18:24,CUB - online payment,Food,,Pizza,462.91,Expense,with company,462.91,INR,462.91
03/19/2022 20:53,CUB - online payment,Food,,Water,648.48,Expense,,648.48,INR,648.48
03/21/2022 19:53,CUB - online payment,Transportation,,Train,52.94,Expense,,52.94,INR,52.94
03/22/2022 18:15,CUB - online payment,Other,,From friend,302,Income,,302,INR,302
03/18/2022 15:33,CUB - online payment,Food,,Breakfast,76.27,Expense,with bharath,76.27,INR,76.27
03/05/2022 13:42,CUB - online payment,Food,,Breakfast,216.14,Expense,with gobi,216.14,INR,216.14
03/22/2022 18:13,CUB - online payment,Food,,Water,482.99,Expense,,482.99,INR,482.99
03/03/2022 18:29,CUB - online payment,Food,,Lunch,193.34,Expense,with company,193.34,INR,193.34
03/18/2022 08:45,CUB - online payment,Food,,Dinner,45.04,Expense,with bharath,45.04,INR,45.04
03/20/2022 20:49,CUB - online payment,Food,,Corn,655.65,Expense,with stu,655.65,INR,655.65
03/28/2022 17:51,CUB - online payment,Food,,Pizza,307.45,Expense,with gobi,307.45,INR,307.45
03/04/2022 10:21,CUB - online payment,Food,,Water,327.6,Expense,with bharath,327.6,INR,327.6
03/17/2022 17:00,CUB - online payment,Food,,Corn,336.65,Expense,,336.65,INR,336.65
03/10/2022 13:28,CUB - online payment,Food,,Breakfast,288.71,Expense,with bharath,288.71,INR,288.71
03/02/2022 10:37,CUB - online payment,Food,,Kfc dinner,344.2,Expense,,344.2,INR,344.2
03/04/2022 17:39,CUB - online payment,Food,,Water,461.41,Expense,,461.41,INR,461.41
03/07/2022 17:48,CUB - online payment,Food,,Breakfast,14.27,Expense,,14.27,INR,14.27
03/05/2022 20:01,CUB - online payment,Food,,Parotta,291.11,Expense,,291.11,INR,291.11
03/08/2022 10:38,CUB - online payment,Food,,Breakfast,463.87,Expense,,463.87,INR,463.87
03/25/2022 15:12,CUB - online payment,Food,,Parotta,293.47,Expense,,293.47,INR,293.47
03/17/2022 17:10,CUB - online payment,Food,,Parotta,665.12,Expense,,665.12,INR,665.12
03/28/2022 09:49,CUB - online payment,Transportation,,Bus ticket,1139.39,Expense,with company,1139.39,INR,1139.39
03/21/2022 21:00,CUB - online payment,Other,,To vicky,699.11,Expense,,699.11,INR,699.11
03/21/2022 20:29,CUB - online payment,Food,,Breakfast,57.3,Expense,with gobi,57.3,INR,57.3
03/08/2022 09:54,CUB - online payment,Transportation,,Taxi,1514.03,Expense,,1514.03,INR,1514.03
03/16/2022 18:05,CUB - online payment,Food,,Pizza,182.94,Expense,,182.94,INR,182.94
03/01/2022 09:48,CUB - online payment,Transportation,,Bus ticket,946.54,Expense,with gobi,946.54,INR,946.54
03/10/2022 08:19,CUB - online payment,Transportation,,Taxi,809.06,Expense,,809.06,INR,809.06
03/23/2022 19:30,CUB - online payment,Food,,Breakfast,552.99,Expense,,552.99,INR,552.99
03/29/2022 20:20,CUB - online payment,Food,,Water,549.78,Expense,with bharath,549.78,INR,549.78
03/19/2022 08:10,CUB - online payment,Food,,Lunch,275.21,Expense,,275.21,INR,275.21
03/25/2022 21:22,CUB - online payment,Transportation,,Bus ticket,1050.11,Expense,,1050.11,INR,1050.11
03/01/2022 14:58,CUB - online payment,Food,,Breakfast,169.01,Expense,with gobi,169.01,INR,169.01
03/07/2022 15:40,CUB - online payment,Food,,Dinner,56.6,Expense,,56.6,INR,56.6
03/30/2022 15:55,CUB - online payment,Food,,Milk with bharath,503.24,Expense,,503.24,INR,503.24
03/21/2022 18:49,CUB - online payment,Other,,To barath,197.08,Expense,with company,197.08,INR,197.08
03/24/2022 10:00,CUB - online payment,Food,,Breakfast,77.4,Expense,,77.4,INR,77.4
03/25/2022 12:06,CUB - online payment,Food,,Dinner,27.4,Expense,,27.4,INR,27.4
03/30/2022 15:42,CUB - online payment,Other,,To kumara,48.98,Expense,,48.98,INR,48.98
03/27/2022 17:39,CUB - online payment,Food,,Dinner,198.05,Expense,,198.05,INR,198.05
03/15/2022 17:51,CUB - online payment,Food,,Lunch,281.76,Expense,with gobi,281.76,INR,281.76
03/30/2022 18:58,CUB - online payment,Food,,Parotta,26.54,Expense,with company,26.54,INR,26.54
03/04/2022 14:56,CUB - online payment,Food,,Kfc dinner,295.58,Expense,,295.58,INR,295.58
03/16/2022 21:35,CUB - online payment,Food,,Kfc dinner,549.77,Expense,,549.77,INR,549.77
03/04/2022 08:10,CUB - online payment,Transportation,,Auto,972.18,Expense,,972.18,INR,972.18
03/25/2022 17:28,CUB - online payment,Other,,To vicky,93.85,Expense,,93.85,INR,93.85
03/26/2022 09:11,CUB - online payment,Food,,Milk with bharath,397.1,Expense,,397.1,INR,397.1
03/23/2022 21:47,CUB - online payment,Food,,Water,54.56,Expense,with company,54.56,INR,54.56
03/19/2022 09:29,CUB - online payment,Food,,Snacks,81.49,Expense,with company,81.49,INR,81.49
03/12/2022 14:52,CUB - online payment,Social Life,,Badminton,1323.05,Expense,with stu,1323.05,INR,1323.05
03/25/2022 12:46,CUB - online payment,Other,,From dad,8000,Income,with company,8000,INR,8000
03/01/2022 13:49,CUB - online payment,Transportation,,Train,861.79,Expense,with bharath,861.79,INR,861.79
03/26/2022 20:16,CUB - online payment,Food,,Parotta,99.45,Expense,with stu,99.45,INR,99.45
03/09/2022 17:54,CUB - online payment,Other,,To barath,96.96,Expense,with stu,96.96,INR,96.96
03/03/2022 09:54,CUB - online payment,Other,,To siva,618.26,Expense,,618.26,INR,618.26
03/15/2022 13:35,CUB - online payment,Transportation,,Metro,46.22,Expense,,46.22,INR,46.22
03/30/2022 12:42,CUB - online payment,Food,,Corn,36.39,Expense,with stu,36.39,INR,36.39
03/04/2022 13:38,CUB - online payment,Food,,Pizza,95.51,Expense,with company,95.51,INR,95.51
03/12/2022 11:58,CUB - online payment,Food,,Corn,58.63,Expense,,58.63,INR,58.63
03/31/2022 09:06,CUB - online payment,Transportation,,Auto,89.11,Expense,,89.11,INR,89.11
03/29/2022 18:26,CUB - online payment,Food,,Milk with bharath,299.93,Expense,with bharath,299.93,INR,299.93
03/20/2022 11:02,CUB - online payment,Food,,Dinner,440.7,Expense,,440.7,INR,440.7
03/23/2022 13:00,CUB - online payment,Transportation,,Train,1464.35,Expense,,1464.35,INR,1464.35
03/05/2022 12:22,CUB - online payment,Food,,Lunch,512.78,Expense,with bharath,512.78,INR,512.78
03/09/2022 08:06,CUB - online payment,Food,,Parotta,274.46,Expense,,274.46,INR,274.46
03/01/2022 12:12,CUB - online payment,Household,,Mirror,338.45,Expense,,338.45,INR,338.45
03/16/2022 11:49,CUB - online payment,Food,,Water,69.89,Expense,,69.89,INR,69.89
03/23/2022 21:14,CUB - online payment,Food,,Snacks,73.18,Expense,with stu,73.18,INR,73.18
03/02/2022 13:41,CUB - online payment,Other,,To siva,77.39,Expense,,77.39,INR,77.39
03/13/2022 20:12,CUB - online payment,Other,,From friend,74,Income,,74,INR,74
03/14/2022 08:30,CUB - online payment,Food,,Milk with bharath,107.85,Expense,,107.85,INR,107.85
03/02/2022 15:17,CUB - online payment,Transportation,,Bus ticket,179.77,Expense,,179.77,INR,179.77
03/01/2022 17:04,CUB - online payment,Food,,Milk with bharath,144.4,Expense,,144.4,INR,144.4
03/21/2022 09:02,CUB - online payment,Food,,Snacks,640.76,Expense,with bharath,640.76,INR,640.76
03/03/2022 17:45,CUB - online payment,Other,,To vicky,163.52,Expense,with bharath,163.52,INR,163.52
03/15/2022 17:12,CUB - online payment,Social Life,,Beer,891.56,Expense,with gobi,891.56,INR,891.56
03/17/2022 08:31,CUB - online payment,Food,,Milk with bharath,26.57,Expense,,26.57,INR,26.57
03/28/2022 18:01,CUB - online payment,Food,,Breakfast,114.66,Expense,,114.66,INR,114.66
03/19/2022 08:16,CUB - online payment,Food,,Parotta,599.37,Expense,with stu,599.37,INR,599.37
03/04/2022 11:11,CUB - online payment,Food,,Corn,57.41,Expense,,57.41,INR,57.41
03/19/2022 18:33,CUB - online payment,Transportation,,Auto,1022.33,Expense,,1022.33,INR,1022.33
03/07/2022 14:07,CUB - online payment,Transportation,,Rapido,975.96,Expense,with gobi,975.96,INR,975.96
03/31/2022 21:18,CUB - online payment,Food,,Pizza,424.78,Expense,,424.78,INR,424.78
03/05/2022 12:23,CUB - online payment,Social Life,,Beer,1667.76,Expense,with stu,1667.76,INR,1667.76
03/06/2022 19:33,CUB - online payment,Food,,Lunch,15.99,Expense,with gobi,15.99,INR,15.99
03/16/2022 12:56,CUB - online payment,Other,,From friend,126,Income,with company,126,INR,126
03/12/2022 11:32,CUB - online payment,Food,,Pizza,273.8,Expense,,273.8,INR,273.8
03/23/2022 08:20,CUB - online payment,Food,,Milk with bharath,38.14,Expense,,38.14,INR,38.14
03/11/2022 11:34,CUB - online payment,Social Life,,Games,1135.88,Expense,,1135.88,INR,1135.88
03/18/2022 21:14,CUB - online payment,Other,,To siva,570.86,Expense,,570.86,INR,570.86
03/18/2022 22:05,CUB - online payment,Other,,From friend,220,Income,,220,INR,220
03/28/2022 20:57,CUB - online payment,Food,,Kfc dinner,97.72,Expense,,97.72,INR,97.72
03/11/2022 15:57,CUB - online payment,Transportation,,Train,1452.52,Expense,,1452.52,INR,1452.52
03/06/2022 11:58,CUB - online payment,Social Life,,Games,1795.05,Expense,with gobi,1795.05,INR,1795.05
03/22/2022 08:36,CUB - online payment,Food,,Dinner,638.89,Expense,with gobi,638.89,INR,638.89
03/04/2022 11:44,CUB - online payment,Apparel,,Earphone,1313.81,Expense,,1313.81,INR,1313.81
03/11/2022 21:06,CUB - online payment,Household,,Mirror,64.12,Expense,,64.12,INR,64.12
03/24/2022 21:01,CUB - online payment,Food,,Pizza,54.44,Expense,,54.44,INR,54.44
03/16/2022 19:21,CUB - online payment,Food,,Lunch,577.39,Expense,,577.39,INR,577.39
03/07/2022 20:57,CUB - online payment,Food,,Breakfast,78.35,Expense,with bharath,78.35,INR,78.35
03/26/2022 08:01,CUB - online payment,Food,,Milk with bharath,171.54,Expense,,171.54,INR,171.54
03/12/2022 22:48,CUB - online payment,Food,,Lunch,484.72,Expense,,484.72,INR,484.72
03/17/2022 22:10,CUB - online payment,Other,,From friend,364,Income,,364,INR,364
