Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note2,Amount,Currency,Account2
03/03/2022 20:50,CUB - online payment,Food,Corn,,533.86,Expense,,533.86,INR,
03/06/2022 15:45,CUB - online payment,Transportation,Taxi,,1006.23,Expense,,1006.23,INR,
03/16/2022 13:54,CUB - online payment,Transportation,Train,,488.32,Expense,,488.32,INR,
03/10/2022 19:49,CUB - online payment,Food,Kfc dinner,with stu,144.73,Expense,,144.73,INR,
03/31/2022 20:50,CUB - online payment,Beauty,Showergel,with company,67.84,Expense,,67.84,INR,
03/19/2022 11:57,CUB - online payment,Food,Corn,with stu,74.78,Expense,,74.78,INR,
03/28/2022 10:39,CUB - online payment,Food,Milk with bharath,,74.06,Expense,,74.06,INR,
03/10/2022 20:54,CUB - online payment,Food,Pizza,with company,250.38,Expense,,250.38,INR,
03/31/2022 20:58,CUB - online payment,Food,Lunch,,272.03,Expense,,272.03,INR,
03/27/2022 14:00,CUB - online payment,Food,Kfc dinner,,415.23,Expense,,415.23,INR,
03/19/2022 19:13,CUB - online payment,Food,Dinner,with gobi,183.15,Expense,,183.15,INR,
03/21/2022 08:27,CUB - online payment,Food,Parotta,with company,125.85,Expense,,125.85,INR,
03/18/2022 10:58,CUB - online payment,Food,Pizza,with bharath,16.61,Expense,,16.61,INR,
03/10/2022 15:57,CUB - online payment,Transportation,Taxi,with gobi,853.71,Expense,,853.71,INR,
03/17/2022 20:06,CUB - online payment,Other,From dad,with bharath,8000,Income,,8000,INR,
03/01/2022 22:28,CUB - online payment,Social Life,Games,,1479.38,Expense,,1479.38,INR,
03/31/2022 17:46,CUB - online payment,Transportation,Bus ticket,,886.06,Expense,,886.06,INR,
03/05/2022 18:53,CUB - online payment,Food,Milk with bharath,,18.08,Expense,,18.08,INR,
03/11/2022 13:18,CUB - online payment,Transportation,Bus ticket,with bharath,235.56,Expense,,235.56,INR,
03/12/2022 22:07,CUB - online payment,Food,Milk with bharath,,644.35,Expense,,644.35,INR,
03/03/2022 19:59,CUB - online payment,Food,Milk with bharath,,22.88,Expense,,22.88,INR,
03/10/2022 14:01,CUB - online payment,Beauty,Showergel,with gobi,61.84,Expense,,61.84,INR,
03/11/2022 19:52,CUB - online payment,Food,Kfc dinner,with stu,285.45,Expense,,285.45,INR,
03/18/2022 15:13,CUB - online payment,Transportation,Taxi,with bharath,268.87,Expense,,268.87,INR,
03/26/2022 12:56,CUB - online payment,Food,Dinner,,296.88,Expense,,296.88,INR,
03/15/2022 21:38,CUB - online payment,Food,Corn,,217.71,Expense,,217.71,INR,
03/13/2022 19:04,CUB - online payment,Transportation,Metro,,1353.92,Expense,,1353.92,INR,
